n,k,"Wn,k1","Wn,k2","Wn,k3","Wn,k4","Wn,k5","Wn,k6","Wn,k7","Wn,k8","Wn,k9","Wn,k10","Wn,k11","Wn,k12","Wn,k13","Wn,k14","Wn,k15","Wn,k16","Wn,k17","Wn,k18","Wn,k19","Wn,k20","Wn,k21","Wn,k22","Wn,k23","Wn,k24","Wn,k25","Wn,k26","Wn,k27","Wn,k28","Wn,k29","Wn,k30","Wn,k31","Wn,k32","Wn,k33","Wn,k34","Wn,k35","Wn,k36","Wn,k37","Wn,k38","Wn,k39","Wn,k40","Wn,k41","Wn,k42","Wn,k43","Wn,k44","Wn,k45","Wn,k46","Wn,k47","Wn,k48","Wn,k49","Wn,k50","Wn,k51","Wn,k52","Wn,k53","Wn,k54","Wn,k55","Wn,k56","Wn,k57","Wn,k58","Wn,k59","Wn,k60","Wn,k61","Wn,k62","Wn,k63","Wn,k64","Wn,k65","Wn,k66","Wn,k67","Wn,k68","Wn,k69","Wn,k70","Wn,k71","Wn,k72","Wn,k73","Wn,k74","Wn,k75","Wn,k76","Wn,k77","Wn,k78","Wn,k79","Wn,k80","Wn,k81","Wn,k82","Wn,k83","Wn,k84","Wn,k85","Wn,k86","Wn,k87","Wn,k88","Wn,k89","Wn,k90","Wn,k91","Wn,k92","Wn,k93","Wn,k94","Wn,k95","Wn,k96","Wn,k97","Wn,k98","Wn,k99","Wn,k100"
85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
86,1,86,-3655,102340,-2123555,34826302,-470155077,5373200880,-53060358690,4.59856E+11,-3.54089E+12,2.44644E+13,-1.52902E+14,8.70367E+14,-4.53834E+15,2.1784E+16,-9.66667E+16,3.98039E+17,-1.52582E+18,5.46082E+18,-1.82937E+19,5.74946E+19,-1.6987E+20,4.72683E+20,-1.24079E+21,3.07717E+21,-7.21951E+21,1.60433E+22,-3.38056E+22,6.76112E+22,-1.28461E+23,2.32059E+23,-3.98852E+23,6.52667E+23,-1.01739E+24,1.51155E+24,-2.14137E+24,2.89374E+24,-3.7314E+24,4.5925E+24,-5.39618E+24,6.05425E+24,-6.4867E+24,6.63755E+24,-6.4867E+24,6.05425E+24,-5.39618E+24,4.5925E+24,-3.7314E+24,2.89374E+24,-2.14137E+24,1.51155E+24,-1.01739E+24,6.52667E+23,-3.98852E+23,2.32059E+23,-1.28461E+23,6.76112E+22,-3.38056E+22,1.60433E+22,-7.21951E+21,3.07717E+21,-1.24079E+21,4.72683E+20,-1.6987E+20,5.74946E+19,-1.82937E+19,5.46082E+18,-1.52582E+18,3.98039E+17,-9.66667E+16,2.1784E+16,-4.53834E+15,8.70367E+14,-1.52902E+14,2.44644E+13,-3.54089E+12,4.59856E+11,-53060358690,5373200880,-470155077,34826302,-2123555,102340,-3655,86,-1,,,,,,,,,,,,,,
86,2,0,3655,-204680,6370665,-139305208,2350775385,-32239205280,3.71423E+11,-3.67885E+12,3.18681E+13,-2.44644E+14,1.68192E+15,-1.04444E+16,5.89984E+16,-3.04977E+17,1.45E+18,-6.36863E+18,2.59389E+19,-9.82947E+19,3.47581E+20,-1.14989E+21,3.56728E+21,-1.0399E+22,2.85382E+22,-7.3852E+22,1.80488E+23,-4.17127E+23,9.12752E+23,-1.89311E+24,3.72538E+24,-6.96178E+24,1.23644E+25,-2.08853E+25,3.35739E+25,-5.13928E+25,7.49479E+25,-1.04175E+26,1.38062E+26,-1.74515E+26,2.10451E+26,-2.4217E+26,2.65955E+26,-2.78777E+26,2.78928E+26,-2.66387E+26,2.42828E+26,-2.11255E+26,1.75376E+26,-1.389E+26,1.04927E+26,-7.55777E+25,5.1887E+25,-3.39387E+25,2.11391E+25,-1.25312E+25,7.06538E+24,-3.78623E+24,1.92692E+24,-9.30514E+23,4.25951E+23,-1.8463E+23,7.56884E+22,-2.93063E+22,1.07018E+22,-3.67966E+21,1.18909E+21,-3.60414E+20,1.0223E+20,-2.70667E+19,6.67E+18,-1.52488E+18,3.22222E+17,-6.26664E+16,1.11619E+16,-1.81036E+15,2.65567E+14,-3.49491E+13,4.08565E+12,-4.1911E+11,37142251083,-2786104160,172007955,-8391880,303365,-7224,85,,,,,,,,,,,,,,
86,3,0,0,102340,-6370665,208957812,-4701550770,80598013200,-1.11427E+12,1.2876E+13,-1.27472E+14,1.1009E+15,-8.40962E+15,5.74442E+16,-3.53991E+17,1.98235E+18,-1.015E+19,4.77647E+19,-2.07511E+20,8.35505E+20,-3.12823E+21,1.0924E+22,-3.56728E+22,1.0919E+23,-3.13921E+23,8.49298E+23,-2.16585E+24,5.21409E+24,-1.18658E+25,2.55571E+25,-5.21553E+25,1.00946E+26,-1.85466E+26,3.23723E+26,-5.37183E+26,8.47982E+26,-1.27411E+27,1.82306E+27,-2.48511E+27,3.22852E+27,-3.99857E+27,4.72232E+27,-5.31909E+27,5.71493E+27,-5.85749E+27,5.72732E+27,-5.34222E+27,4.75323E+27,-4.03365E+27,3.26414E+27,-2.51825E+27,1.85165E+27,-1.29717E+27,8.65436E+26,-5.49618E+26,3.32077E+26,-1.90765E+26,1.04121E+26,-5.39538E+25,2.65197E+25,-1.23526E+25,5.44658E+24,-2.27065E+24,8.93844E+23,-3.31757E+23,1.15909E+23,-3.8051E+22,1.17135E+22,-3.37358E+21,9.06733E+20,-2.2678E+20,5.26084E+19,-1.12778E+19,2.22466E+18,-4.01827E+17,6.60782E+16,-9.82598E+15,1.31059E+15,-1.55255E+14,1.61357E+13,-1.44855E+12,1.10051E+11,-6880318200,339871140,-12437965,299796,-3570,,,,,,,,,,,,,,
86,4,0,0,0,2123555,-139305208,4701550770,-1.07464E+11,1.85711E+12,-2.5752E+13,2.97435E+14,-2.93572E+15,2.52289E+16,-1.91481E+17,1.29797E+18,-7.92939E+18,4.39833E+19,-2.22902E+20,1.03756E+21,-4.45603E+21,1.77266E+22,-6.55439E+22,2.25928E+23,-7.27932E+23,2.19744E+24,-6.22818E+24,1.66049E+25,-4.17127E+25,9.88814E+25,-2.21494E+26,4.69398E+26,-9.42161E+26,1.79284E+27,-3.23723E+27,5.55089E+27,-9.04514E+27,1.40153E+28,-2.06613E+28,2.8993E+28,-3.87423E+28,4.93157E+28,-5.9816E+28,6.91482E+28,-7.61991E+28,8.00524E+28,-8.01825E+28,7.65718E+28,-6.97141E+28,6.05047E+28,-5.00501E+28,3.94526E+28,-2.96265E+28,2.11872E+28,-1.44239E+28,9.3435E+27,-5.756E+27,3.37018E+27,-1.87418E+27,9.89153E+26,-4.95033E+26,2.34699E+26,-1.05301E+26,4.46561E+25,-1.78769E+25,6.74573E+24,-2.39546E+24,7.99071E+23,-2.49887E+23,7.30943E+22,-1.99481E+22,5.06475E+21,-1.19246E+21,2.59389E+20,-5.19087E+19,9.50991E+18,-1.58588E+18,2.39099E+17,-3.23279E+16,3.88137E+15,-4.08772E+14,3.71794E+13,-2.86133E+12,1.81182E+11,-9063230400,335825055,-8194424,98770,,,,,,,,,,,,,,
86,5,0,0,0,0,34826302,-2350775385,80598013200,-1.85711E+12,3.219E+13,-4.46153E+14,5.13752E+15,-5.04577E+16,4.30832E+17,-3.24491E+18,2.18058E+19,-1.3195E+20,7.24431E+20,-3.63144E+21,1.67101E+22,-7.09065E+22,2.78561E+23,-1.01667E+24,3.45768E+24,-1.09872E+25,3.2698E+25,-9.13267E+25,2.39848E+26,-5.93289E+26,1.38434E+27,-3.05109E+27,6.35958E+27,-1.25499E+28,2.34699E+28,-4.16317E+28,7.00998E+28,-1.12122E+29,1.70456E+29,-2.4644E+29,3.38995E+29,-4.43841E+29,5.53298E+29,-6.56908E+29,7.42941E+29,-8.00524E+29,8.21871E+29,-8.04004E+29,7.49426E+29,-6.65552E+29,5.63064E+29,-4.53705E+29,3.48111E+29,-2.54246E+29,1.76693E+29,-1.16794E+29,7.3389E+28,-4.38124E+28,2.48329E+28,-1.33536E+28,6.80671E+27,-3.28578E+27,1.50053E+27,-6.47514E+26,2.63684E+26,-1.01186E+26,3.65307E+25,-1.23856E+25,3.93572E+24,-1.16951E+24,3.24157E+23,-8.35684E+22,1.99737E+22,-4.40961E+21,8.95425E+20,-1.66423E+20,2.81493E+19,-4.30378E+18,5.89984E+17,-7.18053E+16,7.66447E+15,-7.06408E+14,5.50806E+13,-3.53304E+12,1.78999E+11,-6716501100,165937086,-2024785,,,,,,,,,,,,,,
86,6,0,0,0,0,0,470155077,-32239205280,1.11427E+12,-2.5752E+13,4.46153E+14,-6.16502E+15,7.06408E+16,-6.8933E+17,5.84084E+18,-4.36116E+19,2.9029E+20,-1.73864E+21,9.44176E+21,-4.67883E+22,2.1272E+23,-8.91397E+23,3.45669E+24,-1.24476E+25,4.17514E+25,-1.30792E+26,3.83572E+26,-1.05533E+27,2.72913E+27,-6.64483E+27,1.52554E+28,-3.30698E+28,6.77693E+28,-1.31431E+29,2.41464E+29,-4.20599E+29,6.95157E+29,-1.09092E+30,1.62651E+30,-2.30517E+30,3.10689E+30,-3.98375E+30,4.86112E+30,-5.64635E+30,6.24408E+30,-6.57497E+30,6.59283E+30,-6.29518E+30,5.72374E+30,-4.95496E+30,4.08334E+30,-3.20262E+30,2.38992E+30,-1.69625E+30,1.14458E+30,-7.3389E+29,4.46886E+29,-2.58263E+29,1.41548E+29,-7.35125E+28,3.61436E+28,-1.6806E+28,7.38166E+27,-3.05873E+27,1.19399E+27,-4.38368E+26,1.51104E+26,-4.88029E+25,1.47358E+25,-4.14921E+24,1.08639E+24,-2.63652E+23,5.90888E+22,-1.21778E+22,2.29664E+21,-3.94091E+20,6.11137E+19,-8.49577E+18,1.04836E+18,-1.13434E+17,1.05961E+16,-8.37225E+14,5.44089E+13,-2.79238E+12,1.06121E+11,-2654993376,32801517,,,,,,,,,,,,,,
86,7,0,0,0,0,0,0,5373200880,-3.71423E+11,1.2876E+13,-2.97435E+14,5.13752E+15,-7.06408E+16,8.04219E+17,-7.78779E+18,6.54175E+19,-4.83817E+20,3.1875E+21,-1.88835E+22,1.01375E+23,-4.96346E+23,2.22849E+24,-9.21785E+24,3.52683E+25,-1.25254E+26,4.14174E+26,-1.27857E+27,3.69366E+27,-1.00068E+28,2.54719E+28,-6.10217E+28,1.37791E+29,-2.93667E+29,5.91441E+29,-1.12683E+30,2.03289E+30,-3.47578E+30,5.6364E+30,-8.6747E+30,1.26784E+31,-1.76057E+31,2.32385E+31,-2.91667E+31,3.48192E+31,-3.95459E+31,4.27373E+31,-4.39522E+31,4.30171E+31,-4.00662E+31,3.55106E+31,-2.99445E+31,2.40197E+31,-1.83227E+31,1.32873E+31,-9.15663E+30,5.99343E+30,-3.72405E+30,2.19523E+30,-1.22675E+30,6.4936E+29,-3.25293E+29,1.54055E+29,-6.88955E+28,2.9058E+28,-1.15419E+28,4.31062E+27,-1.51104E+27,4.96163E+26,-1.5227E+26,4.35667E+25,-1.15882E+25,2.85624E+24,-6.49977E+23,1.35985E+23,-2.60286E+22,4.53204E+21,-7.12993E+20,1.00533E+20,-1.25803E+19,1.38012E+18,-1.30686E+17,1.04653E+16,-6.89179E+14,3.58356E+13,-1.37957E+12,34957412784,-437353560,,,,,,,,,,,,,,
86,8,0,0,0,0,0,0,0,53060358690,-3.67885E+12,1.27472E+14,-2.93572E+15,5.04577E+16,-6.8933E+17,7.78779E+18,-7.47628E+19,6.2205E+20,-4.55357E+21,2.96741E+22,-1.73785E+23,9.21785E+23,-4.45698E+24,1.97525E+25,-8.06133E+25,3.04189E+26,-1.06502E+27,3.47042E+27,-1.05533E+28,3.00204E+28,-8.00544E+28,2.005E+29,-4.72426E+29,1.04881E+30,-2.19678E+30,4.34635E+30,-8.13158E+30,1.43997E+31,-2.4156E+31,3.84165E+31,-5.79585E+31,8.29983E+31,-1.12873E+32,1.45834E+32,-1.7907E+32,2.09028E+32,-2.32002E+32,2.44877E+32,-2.45812E+32,2.34673E+32,-2.13063E+32,1.83945E+32,-1.50981E+32,1.17789E+32,-8.73167E+31,6.14802E+31,-4.10978E+31,2.60684E+31,-1.56802E+31,8.93773E+30,-4.82382E+30,2.46293E+30,-1.18842E+30,5.41322E+29,-2.32464E+29,9.39843E+28,-3.57166E+28,1.27359E+28,-4.25283E+27,1.32692E+27,-3.85877E+26,1.04293E+26,-2.61142E+25,6.0355E+24,-1.28215E+24,2.49131E+23,-4.40256E+22,7.02807E+21,-1.00533E+21,1.276E+20,-1.41955E+19,1.36286E+18,-1.10633E+17,7.38406E+15,-3.89072E+14,1.51753E+13,-3.89525E+11,4935847320,,,,,,,,,,,,,,
86,9,0,0,0,0,0,0,0,0,4.59856E+11,-3.18681E+13,1.1009E+15,-2.52289E+16,4.30832E+17,-5.84084E+18,6.54175E+19,-6.2205E+20,5.12276E+21,-3.70926E+22,2.38954E+23,-1.38268E+24,7.2426E+24,-3.45669E+25,1.5115E+26,-6.08378E+26,2.26317E+27,-7.80844E+27,2.50641E+28,-7.5051E+28,2.10143E+29,-5.51375E+29,1.35823E+30,-3.14643E+30,6.86494E+30,-1.41256E+31,2.74441E+31,-5.03989E+31,8.75656E+31,-1.44062E+32,2.24589E+32,-3.31993E+32,4.656E+32,-6.19793E+32,7.83432E+32,-9.40627E+32,1.07301E+33,-1.16316E+33,1.19833E+33,-1.17337E+33,1.09195E+33,-9.6571E+32,8.11521E+32,-6.47838E+32,4.91157E+32,-3.53511E+32,2.4145E+32,-1.5641E+32,9.60414E+31,-5.58608E+31,3.07518E+31,-1.6009E+31,7.8733E+30,-3.65392E+30,1.59819E+30,-6.5789E+29,2.54481E+29,-9.23355E+28,3.13646E+28,-9.95193E+27,2.94231E+27,-8.08274E+26,2.05649E+26,-4.8284E+25,1.04174E+25,-2.05533E+24,3.68714E+23,-5.97386E+22,8.671E+21,-1.1165E+21,1.25985E+20,-1.22658E+19,1.00953E+18,-6.83026E+16,3.64755E+15,-1.44165E+14,3.74918E+12,-48124511370,,,,,,,,,,,,,,
86,10,0,0,0,0,0,0,0,0,0,3.54089E+12,-2.44644E+14,8.40962E+15,-1.91481E+17,3.24491E+18,-4.36116E+19,4.83817E+20,-4.55357E+21,3.70926E+22,-2.65505E+23,1.68994E+24,-9.6568E+24,4.993E+25,-2.35122E+26,1.01396E+27,-4.02341E+27,1.47493E+28,-5.01282E+28,1.58441E+29,-4.66984E+29,1.28654E+30,-3.32011E+30,8.04088E+30,-1.83065E+31,3.92379E+31,-7.92829E+31,1.51197E+32,-2.72426E+32,4.642E+32,-7.4863E+32,1.14353E+33,-1.65547E+33,2.27257E+33,-2.95963E+33,3.65799E+33,-4.29204E+33,4.7819E+33,-5.05963E+33,5.08459E+33,-4.85311E+33,4.39935E+33,-3.7871E+33,3.09522E+33,-2.40121E+33,1.76756E+33,-1.23408E+33,8.16809E+32,-5.12221E+32,3.04131E+32,-1.70844E+32,9.07179E+31,-4.54902E+31,2.15175E+31,-9.58913E+30,4.02044E+30,-1.58344E+30,5.84791E+29,-2.02127E+29,6.52404E+28,-1.96154E+28,5.4783E+27,-1.41669E+27,3.37988E+26,-7.40795E+25,1.48441E+25,-2.7039E+24,4.44721E+23,-6.55142E+22,8.55983E+21,-9.79882E+20,9.67633E+19,-8.07623E+18,5.5401E+17,-2.9991E+16,1.20137E+15,-3.16598E+13,4.11732E+11,,,,,,,,,,,,,,
86,11,0,0,0,0,0,0,0,0,0,0,2.44644E+13,-1.68192E+15,5.74442E+16,-1.29797E+18,2.18058E+19,-2.9029E+20,3.1875E+21,-2.96741E+22,2.38954E+23,-1.68994E+24,1.06225E+25,-5.9916E+25,3.05659E+26,-1.41955E+27,6.03511E+27,-2.35988E+28,8.5218E+28,-2.85194E+29,8.8727E+29,-2.57308E+30,6.97222E+30,-1.76899E+31,4.2105E+31,-9.41709E+31,1.98207E+32,-3.93111E+32,7.35551E+32,-1.29976E+33,2.17103E+33,-3.4306E+33,5.13195E+33,-7.27224E+33,9.76678E+33,-1.24372E+34,1.50222E+34,-1.72148E+34,1.87206E+34,-1.93215E+34,1.89271E+34,-1.75974E+34,1.55271E+34,-1.29999E+34,1.03252E+34,-7.77725E+33,5.55334E+33,-3.75732E+33,2.40744E+33,-1.45983E+33,8.37134E+32,-4.5359E+32,2.32E+32,-1.11891E+32,5.08224E+31,-2.17104E+31,8.70889E+30,-3.27483E+30,1.15213E+30,-3.78394E+29,1.15731E+29,-3.28698E+28,8.64183E+27,-2.09552E+27,4.66701E+26,-9.5002E+25,1.75754E+25,-2.93516E+24,4.38945E+23,-5.82069E+22,6.76118E+21,-6.77343E+20,5.73412E+19,-3.98887E+18,2.18934E+17,-8.89017E+15,2.37448E+14,-3.12916E+12,,,,,,,,,,,,,,
86,12,0,0,0,0,0,0,0,0,0,0,0,1.52902E+14,-1.04444E+16,3.53991E+17,-7.92939E+18,1.3195E+20,-1.73864E+21,1.88835E+22,-1.73785E+23,1.38268E+24,-9.6568E+24,5.9916E+25,-3.33446E+26,1.67765E+27,-7.68105E+27,3.21802E+28,-1.23953E+29,4.40754E+29,-1.4519E+30,4.44442E+30,-1.26768E+31,3.37717E+31,-8.421E+31,1.96903E+32,-4.32452E+32,8.93434E+32,-1.73857E+33,3.19032E+33,-5.52625E+33,9.0443E+33,-1.39962E+34,2.04945E+34,-2.84125E+34,3.73115E+34,-4.64321E+34,5.47745E+34,-6.12675E+34,6.49903E+34,-6.53847E+34,6.23907E+34,-5.64622E+34,4.84543E+34,-3.94235E+34,3.0402E+34,-2.22134E+34,1.53709E+34,-1.00675E+34,6.23745E+33,-3.65295E+33,2.02054E+33,-1.05455E+33,5.18768E+32,-2.40251E+32,1.04605E+32,-4.27528E+31,1.63742E+31,-5.86537E+30,1.96077E+30,-6.10217E+29,1.76302E+29,-4.71372E+28,1.16206E+28,-2.6305E+27,5.44102E+26,-1.02257E+26,1.73441E+25,-2.63367E+24,3.54533E+23,-4.17964E+22,4.24879E+21,-3.64899E+20,2.57463E+19,-1.43302E+18,5.89984E+16,-1.59738E+15,2.13352E+13,,,,,,,,,,,,,,
86,13,0,0,0,0,0,0,0,0,0,0,0,0,8.70367E+14,-5.89984E+16,1.98235E+18,-4.39833E+19,7.24431E+20,-9.44176E+21,1.01375E+23,-9.21785E+23,7.2426E+24,-4.993E+25,3.05659E+26,-1.67765E+27,8.32114E+27,-3.75436E+28,1.54942E+29,-5.87672E+29,2.05685E+30,-6.66662E+30,2.00716E+31,-5.62862E+31,1.47367E+32,-3.60988E+32,8.28867E+32,-1.78687E+33,3.62203E+33,-6.91236E+33,1.24341E+34,-2.11034E+34,3.38242E+34,-5.12362E+34,7.33988E+34,-9.94974E+34,1.27688E+35,-1.55194E+35,1.78697E+35,-1.94971E+35,2.01603E+35,-1.97571E+35,1.83502E+35,-1.61514E+35,1.34697E+35,-1.06407E+35,7.95979E+34,-5.63598E+34,3.7753E+34,-2.39102E+34,1.43074E+34,-8.08214E+33,4.30606E+33,-2.16153E+33,1.02107E+33,-4.53286E+32,1.88825E+32,-7.36837E+31,2.6883E+31,-9.15027E+30,2.89853E+30,-8.52125E+29,2.31758E+29,-5.81032E+28,1.33717E+28,-2.8112E+27,5.36848E+26,-9.25019E+25,1.42657E+25,-1.94993E+24,2.33363E+23,-2.40765E+22,2.09817E+21,-1.50187E+20,8.47871E+18,-3.53991E+17,9.71739E+15,-1.31567E+14,,,,,,,,,,,,,,
86,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4.53834E+15,-3.04977E+17,1.015E+19,-2.22902E+20,3.63144E+21,-4.67883E+22,4.96346E+23,-4.45698E+24,3.45669E+25,-2.35122E+26,1.41955E+27,-7.68105E+27,3.75436E+28,-1.6686E+29,6.78083E+29,-2.53151E+30,8.71789E+30,-2.77914E+31,8.22644E+31,-2.26719E+32,5.83135E+32,-1.4027E+33,3.16138E+33,-6.68683E+33,1.3293E+34,-2.48681E+34,4.38301E+34,-7.28522E+34,1.14296E+35,-1.69382E+35,2.37263E+35,-3.1431E+35,3.93955E+35,-4.67361E+35,5.24922E+35,-5.58284E+35,5.62316E+35,-5.36391E+35,4.84543E+35,-4.14452E+35,3.35591E+35,-2.57163E+35,1.86421E+35,-1.27779E+35,8.27662E+34,-5.06261E+34,2.92201E+34,-1.58993E+34,8.14732E+33,-3.92718E+33,1.77828E+33,-7.55299E+32,3.00403E+32,-1.11668E+32,3.87127E+31,-1.2486E+31,3.73624E+30,-1.034E+30,2.63699E+29,-6.17155E+28,1.3191E+28,-2.56035E+27,4.48279E+26,-7.02312E+25,9.74965E+24,-1.18477E+24,1.24086E+23,-1.0975E+22,7.97146E+20,-4.56546E+19,1.93333E+18,-5.38194E+16,7.388E+14,,,,,,,,,,,,,,
86,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1784E+16,-1.45E+18,4.77647E+19,-1.03756E+21,1.67101E+22,-2.1272E+23,2.22849E+24,-1.97525E+25,1.5115E+26,-1.01396E+27,6.03511E+27,-3.21802E+28,1.54942E+29,-6.78083E+29,2.71233E+30,-9.9633E+30,3.37467E+31,-1.05769E+32,3.0769E+32,-8.3305E+32,2.10405E+33,-4.96789E+33,1.09855E+34,-2.2788E+34,4.44074E+34,-8.13987E+34,1.40501E+35,-2.28592E+35,3.50863E+35,-5.08421E+35,6.95972E+35,-9.00468E+35,1.10164E+36,-1.27481E+36,1.39571E+36,-1.44596E+36,1.4176E+36,-1.31519E+36,1.15455E+36,-9.58832E+35,7.53119E+35,-5.59263E+35,3.92465E+35,-2.60122E+35,1.62727E+35,-9.60088E+34,5.33762E+34,-2.79337E+34,1.37451E+34,-6.35099E+33,2.75145E+33,-1.11578E+33,4.22742E+32,-1.4932E+32,4.90521E+31,-1.4945E+31,4.20985E+30,-1.09247E+30,2.60087E+29,-5.65328E+28,1.11558E+28,-1.98523E+27,3.16041E+26,-4.45698E+25,5.50071E+24,-5.84979E+23,5.25234E+22,-3.87185E+21,2.25012E+20,-9.66667E+18,2.72941E+17,-3.79954E+15,,,,,,,,,,,,,,
86,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.66667E+16,-6.36863E+18,2.07511E+20,-4.45603E+21,7.09065E+22,-8.91397E+23,9.21785E+24,-8.06133E+25,6.08378E+26,-4.02341E+27,2.35988E+28,-1.23953E+29,5.87672E+29,-2.53151E+30,9.9633E+30,-3.59965E+31,1.19871E+32,-3.69228E+32,1.0552E+33,-2.8054E+33,6.95504E+33,-1.61121E+34,3.49416E+34,-7.10518E+34,1.35665E+35,-2.43534E+35,4.11466E+35,-6.54943E+35,9.82947E+35,-1.39194E+36,1.86097E+36,-2.35016E+36,2.80458E+36,-3.16361E+36,3.3739E+36,-3.40225E+36,3.24413E+36,-2.92485E+36,2.49296E+36,-2.00832E+36,1.52865E+36,-1.0989E+36,7.45684E+35,-4.77332E+35,2.88026E+35,-1.63687E+35,8.75255E+34,-4.39845E+34,2.07466E+34,-9.17148E+33,3.79366E+33,-1.4655E+33,5.27598E+32,-1.76587E+32,5.47982E+31,-1.57168E+31,4.15138E+30,-1.00567E+30,2.22362E+29,-4.46232E+28,8.07328E+27,-1.3063E+27,1.87193E+26,-2.34697E+25,2.53491E+24,-2.31103E+23,1.72943E+22,-1.02005E+21,4.44667E+19,-1.27373E+18,1.79845E+16,,,,,,,,,,,,,,
86,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98039E+17,-2.59389E+19,8.35505E+20,-1.77266E+22,2.78561E+23,-3.45669E+24,3.52683E+25,-3.04189E+26,2.26317E+27,-1.47493E+28,8.5218E+28,-4.40754E+29,2.05685E+30,-8.71789E+30,3.37467E+31,-1.19871E+32,3.92305E+32,-1.1871E+33,3.33141E+33,-8.6938E+33,2.11471E+34,-4.80447E+34,1.02137E+35,-2.03497E+35,3.80523E+35,-6.68632E+35,1.10522E+36,-1.72016E+36,2.5229E+36,-3.48931E+36,4.55343E+36,-5.60917E+36,6.52495E+36,-7.16953E+36,7.44242E+36,-7.2993E+36,6.76371E+36,-5.92079E+36,4.89527E+36,-3.82163E+36,2.81594E+36,-1.95742E+36,1.28283E+36,-7.92072E+35,4.6037E+35,-2.51636E+35,1.29204E+35,-6.22397E+34,2.80877E+34,-1.18552E+34,4.6713E+33,-1.71469E+33,5.84946E+32,-1.84944E+32,5.40264E+31,-1.45298E+31,3.5827E+30,-8.06064E+29,1.64548E+29,-3.02748E+28,4.98027E+27,-7.25374E+26,9.24119E+25,-1.01396E+25,9.38855E+23,-7.13389E+22,4.27148E+21,-1.88983E+20,5.49294E+18,-7.86822E+16,,,,,,,,,,,,,,
86,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52582E+18,-9.82947E+19,3.12823E+21,-6.55439E+22,1.01667E+24,-1.24476E+25,1.25254E+26,-1.06502E+27,7.80844E+27,-5.01282E+28,2.85194E+29,-1.4519E+30,6.66662E+30,-2.77914E+31,1.05769E+32,-3.69228E+32,1.1871E+33,-3.52737E+33,9.7166E+33,-2.48789E+34,5.93493E+34,-1.32177E+35,2.75319E+35,-5.37208E+35,9.83283E+35,-1.69033E+36,2.73201E+36,-4.15536E+36,5.95236E+36,-8.03547E+36,1.02285E+37,-1.22823E+37,1.39173E+37,-1.48848E+37,1.5028E+37,-1.43232E+37,1.28864E+37,-1.09424E+37,8.76727E+36,-6.62574E+36,4.72084E+36,-3.16934E+36,2.00348E+36,-1.19155E+36,6.66095E+35,-3.49612E+35,1.72075E+35,-7.93064E+34,3.41708E+34,-1.37391E+34,5.14408E+33,-1.78925E+33,5.7659E+32,-1.71613E+32,4.70082E+31,-1.18018E+31,2.70268E+30,-5.614E+29,1.05071E+29,-1.75774E+28,2.60281E+27,-3.37032E+26,3.75763E+25,-3.53451E+24,2.72766E+23,-1.65834E+22,7.44817E+20,-2.19718E+19,3.19357E+17,,,,,,,,,,,,,,
86,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46082E+18,-3.47581E+20,1.0924E+22,-2.25928E+23,3.45768E+24,-4.17514E+25,4.14174E+26,-3.47042E+27,2.50641E+28,-1.58441E+29,8.8727E+29,-4.44442E+30,2.00716E+31,-8.22644E+31,3.0769E+32,-1.0552E+33,3.33141E+33,-9.7166E+33,2.62611E+34,-6.59437E+34,1.54207E+35,-3.36501E+35,6.86433E+35,-1.31104E+36,2.34768E+36,-3.94624E+36,6.23304E+36,-9.25923E+36,1.2946E+37,-1.70475E+37,2.11528E+37,-2.47419E+37,2.72889E+37,-2.83862E+37,2.78506E+37,-2.57728E+37,2.24927E+37,-1.85087E+37,1.43558E+37,-1.04907E+37,7.21906E+36,-4.67478E+36,2.84647E+36,-1.62823E+36,8.74029E+35,-4.39746E+35,2.07078E+35,-9.11222E+34,3.74009E+34,-1.42891E+34,5.06953E+33,-1.6657E+33,5.05305E+32,-1.41025E+32,3.60611E+31,-8.40835E+30,1.77777E+30,-3.38563E+29,5.76149E+28,-8.67604E+27,1.14216E+27,-1.29429E+26,1.23708E+25,-9.69836E+23,5.98845E+22,-2.73099E+21,8.17838E+19,-1.20646E+18,,,,,,,,,,,,,,
